candidate_id,rank,score,reasoning
CAND_0005260,1,1.00000000,"Leads the shortlist ahead of CAND_0046525 due to stronger RAG-specific experience, coupled with stronger behavioral engagement profile, despite less explicit Elasticsearch hybrid-search experience and Qdrant retrieval experience, along with lower GitHub activity (0 vs 37). They maintain a solid 86% recruiter response rate throughout their platform activity and light application activity (6 applications this month), with market validation signals including 11 recruiter saves, 331 recruiter views, 1154 search appearances, alongside an efficient recruiter cadence (47h average). This Senior NLP Engineer at Netflix has a track record that includes a notable tenure at Yellow.ai, signaling strong domain continuity, and large-company operating experience (10001+). With 5.2 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with retrieval-augmented generation (RAG) pipelines, coupled with Transformer-based model deployment. They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0046525,2,0.93980808,"Ranked ahead of CAND_0018499 driven by stronger Elasticsearch hybrid-search experience and Qdrant retrieval experience, coupled with higher recruiter response rate (88% vs 61%), despite less explicit Milvus vector-search experience and Pinecone hosting experience, along with lower GitHub activity (37 vs 95). Their profile highlights a moderate public contribution profile (GitHub: 37/100) along with a solid 88% recruiter response rate and active job-seeking intent (open to work, 7 applications), with market validation signals including 38 recruiter saves, 108 recruiter views, 663 search appearances, alongside very quick recruiter follow-up (12h average). With 6.1 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search and Qdrant for vector retrieval, plus Transformer-based model deployment. Based on their career arc from LinkedIn to Genpact AI, this Senior Machine Learning Engineer has accumulated meaningful industry exposure, and large-company operating experience (10001+). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0018499,3,0.77571307,"Placed above CAND_0042029 in the list primarily owing to stronger Milvus vector-search experience and Pinecone hosting experience, coupled with shorter notice period (15 vs 45 days), even with less explicit Elasticsearch hybrid-search experience and PyTorch depth, along with lower response rate (61% vs 67%). Their profile highlights a highly active open-source portfolio (GitHub: 95/100) along with a limited 61% recruiter response rate and clear active-search intent (18 applications and open to work), with market validation signals including 16 recruiter saves, 75 recruiter views, 1291 search appearances, alongside a standard recruiter response window (60h average). Recruited from Google, they now operate as a Senior Machine Learning Engineer at Zomato, bringing cross-company perspective to the role, and large-company operating experience (5001-10000). With 7.2 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search and Pinecone vector database hosting, plus retrieval-augmented generation (RAG) pipelines. Given their short 15-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0042029,4,0.68200385,"Ranked above CAND_0050454 due to stronger Elasticsearch hybrid-search experience and RAG-specific experience, coupled with stronger GitHub activity (79 vs 0), despite less explicit Faiss similarity-search experience and Qdrant retrieval experience, along with lower response rate (67% vs 77%). With a career that spans Observe.AI and now Flipkart, this individual operates at the level of a seasoned Senior Data Scientist, and large-company operating experience (10001+). With 6.5 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search and PyTorch-based model training, plus retrieval-augmented generation (RAG) pipelines. They maintain inconsistent platform responsiveness (67% response rate) and demonstrate a strong coding contribution profile (GitHub: 79/100) and light application activity (7 applications this month), with market validation signals including 16 recruiter saves, 84 recruiter views, 209 search appearances, alongside an exceptionally fast recruiter response time (21h average). They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0050454,5,0.63075824,"Positioned ahead of CAND_0041669 on the basis of stronger PyTorch depth, coupled with shorter notice period (30 vs 60 days), regardless of less explicit Milvus vector-search experience, along with lower GitHub activity (0 vs 71). With 6.8 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search and PyTorch-based model training, plus Qdrant for vector retrieval. Platform metrics indicate fair platform communication (77% response rate) and clear active-search intent (17 applications and open to work), with market validation signals including 30 recruiter saves, 85 recruiter views, 248 search appearances, alongside prompt recruiter follow-up (32h average). A AI Engineer at Rephrase.ai, they previously built their expertise at Adobe before taking on their current role, and small-company operating experience (11-50). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0041669,6,0.61044132,"Secures a higher rank than CAND_0005649 thanks to stronger Faiss similarity-search experience and Milvus vector-search experience, coupled with higher skill assessment performance (80/100 vs 0/100 avg), despite less explicit RAG-specific experience, along with somewhat lower JD relevance alignment. A Recommendation Systems Engineer at CRED, they previously built their expertise at Yellow.ai before taking on their current role, and large-company operating experience (1001-5000). They maintain moderate platform responsiveness (77% response rate) and demonstrate a strong coding contribution profile (GitHub: 71/100) and active job-seeking intent (open to work, 9 applications), with market validation signals including 37 recruiter saves, 143 recruiter views, 326 search appearances, alongside an exceptionally fast recruiter response time (4h average). With 8.0 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search and Milvus for high-dimensional vector search, plus Qdrant for vector retrieval. They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0005649,7,0.59081148,"Edges out CAND_0079064 marginally owing to stronger RAG-specific experience, coupled with stronger GitHub activity (81 vs 27), even with less explicit Pinecone hosting experience, along with lower response rate (57% vs 91%). With 7.4 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with retrieval-augmented generation (RAG) pipelines. Backed by an exceptional coding contribution profile (GitHub: 81/100), their active engagement is reflected in below-average platform engagement (57% response rate) and active job-seeking intent (open to work, 5 applications), with market validation signals including 26 recruiter saves, 15 recruiter views, 595 search appearances, alongside a workable recruiter follow-up cadence (59h average). Their professional journey from Amazon to their current position as Senior Data Scientist at Sarvam AI reflects deliberate career progression in this domain, and mid-market operating experience (51-200). They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0079064,8,0.58836773,"Secures a higher rank than CAND_0017960 thanks to stronger Pinecone hosting experience, coupled with higher skill assessment performance (57/100 vs 0/100 avg), despite less explicit Qdrant retrieval experience and Transformer deployment experience, along with lower GitHub activity (27 vs 92). A Senior Data Scientist at Niramai, they previously built their expertise at Razorpay before taking on their current role, and mid-market operating experience (51-200). They maintain highly responsive platform engagement (91% recruiter response rate) and demonstrate a moderate open-source footprint (GitHub: 27/100) and clear active-search intent (14 applications and open to work), with market validation signals including 39 recruiter saves, 256 recruiter views, 386 search appearances, alongside an exceptionally fast recruiter response time (3h average). With 5.2 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Pinecone vector database hosting. While they represent an excellent technical fit, their extended 120-day notice period will require scheduling coordination."
CAND_0017960,9,0.53474926,"Edges out CAND_0012957 by a narrow margin driven by stronger Transformer deployment experience, coupled with shorter notice period (60 vs 120 days), despite less explicit RAG-specific experience, along with lower skill assessment performance (0/100 vs 70/100 avg). Recruited from Wysa, they now operate as a Recommendation Systems Engineer at Nykaa, bringing cross-company perspective to the role, and large-company operating experience (1001-5000). With 7.7 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Qdrant for vector retrieval, coupled with Transformer-based model deployment. They maintain moderate platform responsiveness (72% response rate) and demonstrate an outstanding open-source footprint (GitHub: 92/100) and active job-seeking intent (open to work, 6 applications), with market validation signals including 43 recruiter saves, 13 recruiter views, 899 search appearances, alongside a fast recruiter response time (35h average). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0012957,10,0.53035983,"Positioned ahead of CAND_0000031 on the basis of stronger Qdrant retrieval experience and RAG-specific experience, coupled with stronger GitHub activity (54 vs 33), regardless of less explicit Faiss similarity-search experience and Pinecone hosting experience, along with longer 120-day notice period. With 4.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Qdrant for vector retrieval, coupled with retrieval-augmented generation (RAG) pipelines. Backed by a very active GitHub presence (GitHub: 54/100), their active engagement is reflected in below-average platform engagement (67% response rate) and light application activity (3 applications this month), with market validation signals including 54 recruiter saves, 90 recruiter views, 565 search appearances, alongside prompt recruiter follow-up (48h average). Their professional journey from Mad Street Den to their current position as Search Engineer at Razorpay reflects deliberate career progression in this domain, and large-company operating experience (1001-5000). While they represent an excellent technical fit, their extended 120-day notice period will require scheduling coordination."
CAND_0000031,11,0.51167492,"Ranked ahead of CAND_0010257 driven by stronger Faiss similarity-search experience and Pinecone hosting experience, coupled with shorter notice period (60 vs 120 days), despite less explicit Milvus vector-search experience and Qdrant retrieval experience, along with somewhat lower JD relevance alignment. Their profile highlights a moderate public contribution profile (GitHub: 33/100) along with a strong 91% recruiter communication rate and active job-seeking intent (open to work, 2 applications), with market validation signals including 13 recruiter saves, 194 recruiter views, 778 search appearances, alongside a standard recruiter response window (76h average). With 6.0 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search and Pinecone vector database hosting, plus Transformer-based model deployment. Having transitioned from Uber to Swiggy, they currently hold the role of Recommendation Systems Engineer and bring demonstrable cross-organisation experience, and large-company operating experience (5001-10000). They are available within a standard 60-day notice period and align well with the team's operational timeline."
